/nethome/mct30/bmds/SAM_out/BTIRed_Bac_Myzus-only.map		
Percentage	Number of reads	Filename
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0001%	7	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0%	4	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0005%	67	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.001%	143	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0006%	87	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0065%	906	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0001%	16	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0005%	72	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0053%	734	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0003%	48	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.004%	562	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0005%	71	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0002%	27	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0004%	50	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0002%	30	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0003%	37	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0036%	504	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0008%	114	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0067%	928	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0006%	89	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0019%	268	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0076%	1063	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0008%	116	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0008%	115	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0032%	449	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0455%	6344	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0%	4	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0001%	8	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0001%	7	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0136%	1894	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.002%	284	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0%	2	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0%	5	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0002%	23	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0002%	32	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
0.0067%	934	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Bac_Myzus-only.map.tsv
