/nethome/mct30/bmds/SAM_out/G006_Bac_Buchnera.map		
Percentage	Number of reads	Filename
0.0%	2	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0001%	27	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0001%	11	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0001%	25	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0001%	27	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0001%	21	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0003%	64	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0005%	107	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0%	6	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0016%	347	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0002%	42	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0004%	81	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0018%	406	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0%	2	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0005%	116	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0601%	13196	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0001%	25	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0005%	117	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0003%	66	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0199%	4364	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0002%	41	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0001%	27	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0%	8	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0%	5	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0001%	14	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0001%	27	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0%	9	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0%	3	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0%	2	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0%	4	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0%	2	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0%	7	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0%	4	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0001%	11	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0%	3	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0%	6	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0001%	19	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0%	10	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0025%	556	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0001%	11	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0%	2	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0%	3	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0%	2	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0005%	116	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
0.0007%	161	/nethome/mct30/gitclones/bmds/aphid/files/G006_Bac_Buchnera.map.tsv
