/nethome/mct30/bmds/SAM_out/G006_Bac_other_bacteria_HF_2018.map			
Percentage	Number of Reads	Organism Name	Description
0.0%	0	Candidatus Regiella insecticola 5.15	20846005
0.0%	0	Arsenophonus endosymbiont str. Hangzhou of Nilaparvata lugens	17974078
0.0%	0	Cupriavidus pauculus	21751478
0.0008%	16	Mesorhizobium ciceri biovar biserrulae WSM1271	21707865
0.0201%	412	Propionibacterium freudenreichii subsp. freudenreichii	21947852
0.0%	0	Lactobacillus salivarius UCC118	4238044
0.0%	0	Paenibacillus xerothermodurans	21713609
0.0209%	430	Corynebacterium glutamicum ATCC 13032	21921285
0.0%	0	Paenibacillus daejeonensis DSM 15491	20405916
0.0348%	715	Cupriavidus gilardii CR3	21921228
0.0%	0	Serratia symbiotica	20303763
0.0%	1	Ralstonia pickettii 12J	21239421
0.0%	0	Candidatus Hamiltonella defensa	21426467
0.0051%	105	Lactobacillus acidophilus NCFM	21788221
0.0%	0	Propionibacterium cyclohexanicum	21478038
0.0108%	221	Lactobacillus paracasei ATCC 334	21805847
0.0011%	22	Wolbachia endosymbiont of Onchocerca ochengi	20814262
0.0%	0	Pseudomonas syringae pv. tomato str. DC3000	7663417
0.0293%	601	Pseudomonas putida KT2440	21854849
0.0%	0	Paenibacillus massiliensis 2301065 = DSM 16942	21472681
0.0%	1	Paenibacillus catalpae	19678675
0.0001%	2	Paenibacillus bovis	11800978
0.0232%	476	Pseudomonas syringae pv. syringae B728a	21842542
0.0221%	454	Xanthomonas campestris pv. campestris str. ATCC 33913	21894710
0.0%	0	Paenibacillus ginsengihumi DSM 21568	21572899
0.0366%	751	Bradyrhizobium diazoefficiens USDA 110	21960796
0.0032%	65	Candidatus Arsenophonus lipoptenae	21553392
0.0%	0	Bacillus altitudinis 41KF2b	13909820
0.0%	0	Paenibacillus apiarius	16214292
0.0279%	574	Pseudomonas aeruginosa PAO1	21893090
0.0%	0	Paenibacillus rhizosphaerae	19179923
0.0138%	284	Ralstonia solanacearum GMI1000	21936370
0.0134%	275	Spiroplasma sabaudiense Ar-1343	21904513
0.0203%	417	Paenibacillus larvae subsp. larvae	21919845
0.0012%	24	Paenibacillus herberti	20487133
0.0162%	333	Paenibacillus yonginensis	21861056
0.001%	21	Wolbachia endosymbiont of Trichogramma pretiosum	21711030
0.0123%	253	Paenibacillus swuensis	21948086
0.0001%	2	Erwinia aphidicola	10806262
0.0%	0	Propionibacterium acidifaciens DSM 21887	21222138
0.0001%	3	Cupriavidus metallidurans CH34	18053934
0.0%	0	Paenibacillus antarcticus	21117509
0.0%	0	Paenibacillus tianmuensis	21137766
0.0413%	848	Micrococcus luteus NCTC 2665	21938123
0.0%	1	Ralstonia mannitolilytica	20734725
0.0027%	56	Spiroplasma syrphidicola EA-1	21825276
0.0011%	22	Cupriavidus necator N-1	20507500
0.0%	1	Candidatus Regiella insecticola LSR1	21515331
0.0066%	135	Candidatus Rickettsiella viridis	21869680
0.0024%	49	Rickettsia prowazekii str. Madrid E	21884998
0.0%	0	Paenibacillus terrigena DSM 21567	18693467
0.0125%	257	Cupriavidus basilensis	21855195
0.0%	0	Paenibacillus oryzae	21513364
0.0024%	49	Spiroplasma eriocheiris	21774717
0.0%	0	Lactobacillus plantarum WCFS1	15351721
0.0153%	314	Paenibacillus glucanolyticus	21932280
0.0%	0	Paenibacillus fonticola DSM 21315	21825570
0.0017%	35	Wolbachia endosymbiont strain TRS of Brugia malayi	21518595
0.0015%	31	Spiroplasma chrysopicola DF-1	21942466
0.0007%	14	Spiroplasma apis B31	20770488
0.0009%	18	Spiroplasma cantharicola	20853767
0.0043%	89	Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum)	21918333
0.0155%	319	Paenibacillus donghaensis	21928046
0.0%	0	Wolbachia pipientis	17629482
0.0%	0	Candidatus Hamiltonella defensa (Bemisia tabaci)	19144096
0.0167%	343	Paenibacillus tuaregi	21843064
0.0%	0	Candidatus Hamiltonella defensa MED (Bemisia tabaci)	21167670
0.0%	0	Wolbachia endosymbiont of Dactylopius coccus	20517618
0.0%	0	Spiroplasma kunkelii CR2-3x	9545926
0.0%	0	Spiroplasma poulsonii	16156795
0.0007%	14	Spiroplasma citri	20029514
0.0014%	29	Spiroplasma litorale	21723275
0.0033%	67	Wolbachia endosymbiont of Cimex lectularius	21454211
0.0018%	36	Spiroplasma turonicum	21910487
0.0018%	38	Spiroplasma mirum ATCC 29335	21924889
0.002%	41	Wolbachia endosymbiont of Drosophila simulans wNo	21374869
0.0017%	35	Wolbachia endosymbiont of Drosophila melanogaster	21856795
0.0011%	23	Spiroplasma helicoides	20598271
0.001%	21	Spiroplasma taiwanense CT-1	21163242
0.0009%	19	Spiroplasma diminutum CUAS-1	20302682
0.001%	20	Spiroplasma culicicola AES-1	21284627
